city,timestamp,temperature,season
New York,2010-01-01,2.0758829590032386,winter
New York,2010-01-02,-4.088054560648881,winter
New York,2010-01-03,-4.264630518302975,winter
New York,2010-01-04,2.1966686609032013,winter
New York,2010-01-05,-0.4853166596745095,winter
New York,2010-01-06,0.142986485813965,winter
New York,2010-01-07,0.4640346578572086,winter
New York,2010-01-08,5.123263250066177,winter
New York,2010-01-09,1.4064114510604353,winter
New York,2010-01-10,3.2000885479952905,winter
New York,2010-01-11,3.690250361185891,winter
New York,2010-01-12,2.9207026524530475,winter
New York,2010-01-13,-0.7834174064974666,winter
New York,2010-01-14,-0.7068208604043412,winter
New York,2010-01-15,-6.548931733823753,winter
New York,2010-01-16,11.774415626837026,winter
New York,2010-01-17,-0.15671477148993365,winter
New York,2010-01-18,-0.2285852712040162,winter
New York,2010-01-19,2.5605963487399945,winter
New York,2010-01-20,1.018595524225953,winter
New York,2010-01-21,1.2932785927611576,winter
New York,2010-01-22,5.882823197203969,winter
New York,2010-01-23,-7.301591312148716,winter
New York,2010-01-24,5.5765573918550455,winter
New York,2010-01-25,-3.443633855510954,winter
New York,2010-01-26,3.2022911058035417,winter
New York,2010-01-27,6.739760923635661,winter
New York,2010-01-28,7.647945721990811,winter
New York,2010-01-29,-7.349265401458847,winter
New York,2010-01-30,5.982858477411881,winter
New York,2010-01-31,-1.9811587457279456,winter
New York,2010-02-01,-0.08735379716701874,winter
New York,2010-02-02,-11.78775252271955,winter
New York,2010-02-03,3.0467604638518084,winter
New York,2010-02-04,-2.867841030011423,winter
New York,2010-02-05,-6.908455588623524,winter
New York,2010-02-06,-9.80513040990441,winter
New York,2010-02-07,1.3527123699269359,winter
New York,2010-02-08,-8.910297693006298,winter
New York,2010-02-09,-2.23561883406649,winter
New York,2010-02-10,7.95576462008302,winter
New York,2010-02-11,-1.6523995841405983,winter
New York,2010-02-12,14.837948375092505,winter
New York,2010-02-13,-11.26883899411477,winter
New York,2010-02-14,4.414016704800438,winter
New York,2010-02-15,5.688236281624457,winter
New York,2010-02-16,4.7078524474535195,winter
New York,2010-02-17,4.128486425264816,winter
New York,2010-02-18,-5.053220547635337,winter
New York,2010-02-19,6.0970147291894605,winter
New York,2010-02-20,7.824240195211651,winter
New York,2010-02-21,0.5017416239474001,winter
New York,2010-02-22,3.1154730566949547,winter
New York,2010-02-23,-12.37087965836187,winter
New York,2010-02-24,9.501608918740557,winter
New York,2010-02-25,4.538545720882636,winter
New York,2010-02-26,2.9889984292237406,winter
New York,2010-02-27,-5.765356848643752,winter
New York,2010-02-28,5.386948218405845,winter
New York,2010-03-01,12.028736524398493,spring
New York,2010-03-02,11.461421617723639,spring
New York,2010-03-03,13.384225171370908,spring
New York,2010-03-04,7.35075343716985,spring
New York,2010-03-05,12.051676442805004,spring
New York,2010-03-06,6.3372397698889245,spring
New York,2010-03-07,8.720936135272156,spring
New York,2010-03-08,11.352969003853142,spring
New York,2010-03-09,12.63158650726954,spring
New York,2010-03-10,14.442538206097566,spring
New York,2010-03-11,14.545173481447915,spring
New York,2010-03-12,8.654430457769134,spring
New York,2010-03-13,7.285387565037357,spring
New York,2010-03-14,5.6007485117530615,spring
New York,2010-03-15,8.539565734962206,spring
New York,2010-03-16,11.365613363734179,spring
New York,2010-03-17,7.792921663853308,spring
New York,2010-03-18,16.553092013092098,spring
New York,2010-03-19,5.709553863106391,spring
New York,2010-03-20,14.59382552378636,spring
New York,2010-03-21,10.636846720645801,spring
New York,2010-03-22,9.48519876618972,spring
New York,2010-03-23,10.852985912189233,spring
New York,2010-03-24,9.755079018528651,spring
New York,2010-03-25,4.687970184556165,spring
New York,2010-03-26,0.6928463282562625,spring
New York,2010-03-27,13.442359280580579,spring
New York,2010-03-28,6.345010278798631,spring
New York,2010-03-29,11.984660834339014,spring
New York,2010-03-30,3.8900468100279895,spring
New York,2010-03-31,17.790729046088522,spring
New York,2010-04-01,8.71518303496991,spring
New York,2010-04-02,-0.5698083529477049,spring
New York,2010-04-03,8.753378380800278,spring
New York,2010-04-04,14.512062099498069,spring
New York,2010-04-05,13.165410494663357,spring
New York,2010-04-06,5.43606107297741,spring
New York,2010-04-07,4.487156742283722,spring
New York,2010-04-08,9.946150979592433,spring
New York,2010-04-09,11.318659913155276,spring
New York,2010-04-10,11.577704384408518,spring
New York,2010-04-11,14.102288539208917,spring
New York,2010-04-12,5.3652833987254835,spring
New York,2010-04-13,6.622976642280946,spring
New York,2010-04-14,7.399908734137824,spring
New York,2010-04-15,11.724642409643165,spring
New York,2010-04-16,17.671418120450614,spring
New York,2010-04-17,12.561309223136531,spring
New York,2010-04-18,15.210983245802922,spring
New York,2010-04-19,7.428582933101264,spring
New York,2010-04-20,4.655241694152311,spring
New York,2010-04-21,14.649573927561267,spring
New York,2010-04-22,14.633297560946819,spring
New York,2010-04-23,10.632748662997754,spring
New York,2010-04-24,7.854531587274402,spring
New York,2010-04-25,3.446954598402301,spring
New York,2010-04-26,10.07611717031959,spring
New York,2010-04-27,14.400336355591314,spring
New York,2010-04-28,14.7795584479201,spring
New York,2010-04-29,7.723120007223526,spring
New York,2010-04-30,11.78016767617491,spring
New York,2010-05-01,14.11495600208146,spring
New York,2010-05-02,9.937652851094478,spring
New York,2010-05-03,8.930104494332117,spring
New York,2010-05-04,7.471070609036282,spring
New York,2010-05-05,11.171576462515784,spring
New York,2010-05-06,2.9393944861846455,spring
New York,2010-05-07,11.189984251857647,spring
New York,2010-05-08,8.50237992472232,spring
New York,2010-05-09,8.756889935474737,spring
New York,2010-05-10,2.1133751882347713,spring
New York,2010-05-11,4.797968935050683,spring
New York,2010-05-12,8.8513922613675,spring
New York,2010-05-13,18.513290930926644,spring
New York,2010-05-14,11.99737024038675,spring
New York,2010-05-15,8.655649268601593,spring
New York,2010-05-16,7.914726657506483,spring
New York,2010-05-17,2.873399210730401,spring
New York,2010-05-18,11.519228674647108,spring
New York,2010-05-19,8.21071354236781,spring
New York,2010-05-20,16.475345098591458,spring
New York,2010-05-21,9.621732661746805,spring
New York,2010-05-22,10.457859091124257,spring
New York,2010-05-23,7.019563231850038,spring
New York,2010-05-24,12.505309924855053,spring
New York,2010-05-25,12.418230110515935,spring
New York,2010-05-26,5.484852385942134,spring
New York,2010-05-27,12.450662385137543,spring
New York,2010-05-28,15.558638931399571,spring
New York,2010-05-29,15.644942615796163,spring
New York,2010-05-30,6.512706881764147,spring
New York,2010-05-31,5.322170934164799,spring
New York,2010-06-01,18.637396130449453,summer
New York,2010-06-02,11.8210432145518,summer
New York,2010-06-03,28.93871054696955,summer
New York,2010-06-04,22.910306181494523,summer
New York,2010-06-05,22.500430535326444,summer
New York,2010-06-06,35.16771026561354,summer
New York,2010-06-07,21.855484713128835,summer
New York,2010-06-08,34.78841571209955,summer
New York,2010-06-09,26.427174081418205,summer
New York,2010-06-10,26.4695749567773,summer
New York,2010-06-11,22.527094230069302,summer
New York,2010-06-12,23.827030473853856,summer
New York,2010-06-13,23.593367554039233,summer
New York,2010-06-14,33.01347226716673,summer
